"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.01.2026","859,00","868,60","869,70","832,72","12,73M","-1,11%"
"29.01.2026","868,60","903,00","906,60","853,10","11,09M","-3,80%"
"28.01.2026","902,90","898,10","909,09","894,40","4,97M","0,52%"
"27.01.2026","898,20","879,10","901,30","876,20","5,75M","2,14%"
"26.01.2026","879,40","865,60","881,40","865,40","6,03M","1,54%"
"25.01.2026","866,10","887,20","887,80","856,11","5,89M","-2,38%"
"24.01.2026","887,20","891,60","894,30","886,50","2,83M","-0,52%"
"23.01.2026","891,80","888,70","905,00","883,40","5,95M","0,43%"
"22.01.2026","888,00","884,00","897,60","878,20","5,93M","0,53%"
"21.01.2026","883,30","882,90","893,60","864,70","9,13M","-0,09%"
"20.01.2026","884,10","923,31","933,00","884,10","6,45M","-4,27%"
"19.01.2026","923,50","932,10","932,10","903,17","11,53M","-0,95%"
"18.01.2026","932,40","946,70","953,40","931,60","4,12M","-1,56%"
"17.01.2026","947,20","938,10","956,17","935,31","3,65M","0,97%"
"16.01.2026","938,10","931,20","939,50","923,90","4,12M","0,73%"
"15.01.2026","931,30","948,60","948,60","924,10","7,13M","-1,79%"
"14.01.2026","948,30","945,10","954,30","928,30","15,38M","0,51%"
"13.01.2026","943,50","906,20","951,91","902,10","19,16M","4,17%"
"12.01.2026","905,70","903,90","910,60","894,31","9,32M","0,20%"
"11.01.2026","903,90","907,90","917,10","898,90","5,14M","-0,44%"
"10.01.2026","907,90","896,70","915,90","896,50","8,93M","1,26%"
"09.01.2026","896,60","892,20","901,00","885,40","7,68M","0,49%"
"08.01.2026","892,20","900,20","904,41","875,71","7,09M","-0,89%"
"07.01.2026","900,20","917,40","920,29","893,00","6,91M","-1,90%"
"06.01.2026","917,60","910,90","923,38","892,89","9,06M","0,81%"
"05.01.2026","910,20","895,50","916,40","891,21","8,14M","1,62%"
"04.01.2026","895,70","878,70","902,80","878,40","9,82M","1,93%"
"03.01.2026","878,70","881,20","884,00","868,70","6,04M","-0,28%"
"02.01.2026","881,20","864,10","890,90","859,60","9,92M","1,96%"
"01.01.2026","864,30","864,20","874,21","856,30","3,73M","0,02%"
"31.12.2025","864,10","861,60","876,70","857,70","9,30M","0,29%"
"30.12.2025","861,60","852,40","863,80","848,70","9,12M","1,08%"
