"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.01.2026","0,115781","0,117266","0,118656","0,112370","1,93B","-1,27%"
"29.01.2026","0,117266","0,124974","0,125179","0,114545","1,89B","-6,16%"
"28.01.2026","0,124961","0,126173","0,127468","0,123843","1,13B","-0,96%"
"27.01.2026","0,126173","0,122349","0,126585","0,121552","1,21B","3,13%"
"26.01.2026","0,122343","0,119435","0,123715","0,119285","1,31B","2,45%"
"25.01.2026","0,119422","0,124206","0,124321","0,117833","1,23B","-3,85%"
"24.01.2026","0,124206","0,124755","0,124885","0,122953","328,63M","-0,44%"
"23.01.2026","0,124756","0,124362","0,127731","0,122120","1,02B","0,32%"
"22.01.2026","0,124360","0,126543","0,127875","0,123238","896,95M","-1,70%"
"21.01.2026","0,126514","0,123316","0,128704","0,120377","1,79B","2,58%"
"20.01.2026","0,123327","0,129179","0,129342","0,122264","1,42B","-4,51%"
"19.01.2026","0,129155","0,131559","0,131559","0,122058","2,32B","-1,83%"
"18.01.2026","0,131560","0,137876","0,138339","0,131482","799,88M","-4,59%"
"17.01.2026","0,137884","0,138119","0,139897","0,136852","587,71M","-0,16%"
"16.01.2026","0,138105","0,140038","0,140415","0,135194","1,49B","-1,37%"
"15.01.2026","0,140019","0,147138","0,147138","0,138842","1,25B","-4,84%"
"14.01.2026","0,147139","0,148241","0,151213","0,145645","1,55B","-0,74%"
"13.01.2026","0,148241","0,136577","0,150634","0,136281","1,62B","8,51%"
"12.01.2026","0,136613","0,137698","0,142267","0,135310","1,27B","-0,92%"
"11.01.2026","0,137881","0,139522","0,141067","0,135982","756,73M","-1,24%"
"10.01.2026","0,139607","0,140666","0,140669","0,139067","402,28M","-0,75%"
"09.01.2026","0,140659","0,142015","0,144366","0,138277","1,28B","-0,92%"
"08.01.2026","0,141966","0,146371","0,147559","0,138422","1,62B","-3,01%"
"07.01.2026","0,146371","0,150209","0,153917","0,145074","1,41B","-2,78%"
"06.01.2026","0,150553","0,151821","0,156283","0,143772","2,12B","-0,77%"
"05.01.2026","0,151722","0,150131","0,153722","0,146151","1,93B","1,43%"
"04.01.2026","0,149588","0,142921","0,154108","0,142798","2,34B","4,50%"
"03.01.2026","0,143147","0,142153","0,144408","0,139320","1,62B","0,94%"
"02.01.2026","0,141810","0,126897","0,144781","0,125931","3,56B","11,84%"
"01.01.2026","0,126797","0,117510","0,127170","0,117510","1,59B","8,00%"
"31.12.2025","0,117406","0,123134","0,123704","0,116259","1,25B","-4,84%"
"30.12.2025","0,123373","0,122815","0,125195","0,122437","1,04B","0,40%"
