"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.01.2026","1,689","1,739","1,746","1,655","13,65M","-2,68%"
"29.01.2026","1,735","1,872","1,874","1,697","10,65M","-7,16%"
"28.01.2026","1,869","1,876","1,894","1,832","8,05M","-0,33%"
"27.01.2026","1,875","1,872","1,896","1,828","5,35M","0,03%"
"26.01.2026","1,875","1,822","1,895","1,818","6,83M","2,86%"
"25.01.2026","1,822","1,928","1,939","1,784","7,36M","-5,49%"
"24.01.2026","1,928","1,927","1,939","1,900","2,63M","0,18%"
"23.01.2026","1,925","1,927","1,983","1,898","6,08M","-0,07%"
"22.01.2026","1,926","1,959","1,981","1,906","5,09M","-1,39%"
"21.01.2026","1,953","1,902","1,997","1,874","8,13M","2,98%"
"20.01.2026","1,897","2,029","2,050","1,887","10,57M","-6,46%"
"19.01.2026","2,028","2,000","2,062","1,887","16,14M","-1,78%"
"18.01.2026","2,065","2,180","2,202","2,063","7,08M","-5,19%"
"17.01.2026","2,178","2,120","2,233","2,113","8,40M","2,79%"
"16.01.2026","2,119","2,116","2,155","2,057","8,67M","0,08%"
"15.01.2026","2,117","2,223","2,237","2,098","8,84M","-4,81%"
"14.01.2026","2,224","2,292","2,297","2,197","10,93M","-2,54%"
"13.01.2026","2,282","2,053","2,340","2,053","19,64M","11,08%"
"12.01.2026","2,054","2,066","2,150","2,027","7,49M","-0,68%"
"11.01.2026","2,069","2,091","2,124","2,038","3,50M","-1,11%"
"10.01.2026","2,092","2,083","2,129","2,069","3,45M","0,46%"
"09.01.2026","2,082","2,112","2,140","2,050","7,16M","-1,36%"
"08.01.2026","2,111","2,144","2,157","2,086","6,47M","-1,57%"
"07.01.2026","2,145","2,232","2,245","2,123","7,57M","-4,02%"
"06.01.2026","2,235","2,209","2,260","2,119","12,23M","1,24%"
"05.01.2026","2,207","2,150","2,232","2,097","11,55M","2,98%"
"04.01.2026","2,143","2,123","2,180","2,119","6,40M","0,86%"
"03.01.2026","2,125","2,167","2,219","2,108","9,44M","-1,82%"
"02.01.2026","2,164","2,005","2,169","1,970","15,76M","8,36%"
"01.01.2026","1,997","1,788","2,026","1,765","14,62M","11,68%"
"31.12.2025","1,788","1,809","1,843","1,765","7,22M","-1,28%"
"30.12.2025","1,812","1,824","1,845","1,793","7,12M","-0,65%"
