"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.01.2026","117,528","117,852","119,037","112,810","7,52M","-0,20%"
"29.01.2026","117,766","125,370","125,422","115,433","5,84M","-5,97%"
"28.01.2026","125,250","127,149","128,147","124,811","3,13M","-1,49%"
"27.01.2026","127,149","124,149","127,783","123,121","3,13M","2,38%"
"26.01.2026","124,197","118,647","125,395","118,626","4,01M","4,49%"
"25.01.2026","118,856","127,224","127,407","117,453","6,37M","-6,54%"
"24.01.2026","127,167","127,428","128,071","126,639","1,14M","-0,19%"
"23.01.2026","127,411","128,423","130,115","125,365","3,06M","-0,80%"
"22.01.2026","128,439","129,708","130,847","126,876","2,86M","-0,82%"
"21.01.2026","129,503","126,057","131,796","125,363","5,07M","2,99%"
"20.01.2026","125,746","133,444","134,545","124,919","5,96M","-5,76%"
"19.01.2026","133,427","133,220","135,136","130,521","4,69M","-3,23%"
"18.01.2026","137,877","143,704","143,948","137,877","2,78M","-4,10%"
"17.01.2026","143,771","144,908","144,908","143,458","1,37M","-0,78%"
"16.01.2026","144,895","142,332","145,518","140,294","3,09M","1,76%"
"15.01.2026","142,391","146,504","146,531","141,043","4,00M","-2,92%"
"14.01.2026","146,678","145,716","148,326","143,528","5,77M","0,83%"
"13.01.2026","145,465","139,119","147,636","137,822","6,35M","4,51%"
"12.01.2026","139,187","139,384","144,296","138,385","6,37M","-0,29%"
"11.01.2026","139,591","135,790","141,343","135,730","3,43M","2,78%"
"10.01.2026","135,813","135,899","136,981","135,374","1,44M","-0,07%"
"09.01.2026","135,906","138,447","141,031","135,061","5,49M","-1,76%"
"08.01.2026","138,346","136,238","139,993","132,795","4,78M","1,45%"
"07.01.2026","136,367","140,851","141,281","134,524","3,76M","-3,32%"
"06.01.2026","141,056","137,991","143,287","136,485","5,71M","2,29%"
"05.01.2026","137,900","134,557","139,620","133,264","4,86M","2,79%"
"04.01.2026","134,152","133,329","135,434","133,159","2,81M","0,60%"
"03.01.2026","133,349","132,346","133,849","129,765","2,34M","0,84%"
"02.01.2026","132,245","127,049","133,164","125,866","4,79M","4,24%"
"01.01.2026","126,863","124,578","127,163","124,209","2,50M","1,83%"
"31.12.2025","124,586","124,762","127,225","123,576","4,45M","-0,33%"
"30.12.2025","124,997","123,191","126,434","122,576","3,52M","1,40%"
