"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.01.2026","1,7345","1,8074","1,8119","1,7132","707,40M","-4,04%"
"29.01.2026","1,8074","1,9105","1,9120","1,7778","493,61M","-5,39%"
"28.01.2026","1,9104","1,9149","1,9412","1,8944","248,06M","-0,24%"
"27.01.2026","1,9149","1,9038","1,9279","1,8744","252,31M","0,59%"
"26.01.2026","1,9038","1,8350","1,9426","1,8339","358,99M","3,75%"
"25.01.2026","1,8349","1,9142","1,9161","1,8126","334,02M","-4,14%"
"24.01.2026","1,9142","1,9196","1,9269","1,9101","98,14M","-0,30%"
"23.01.2026","1,9199","1,9232","1,9644","1,8874","259,74M","-0,17%"
"22.01.2026","1,9232","1,9473","1,9660","1,9018","249,77M","-1,24%"
"21.01.2026","1,9473","1,8895","1,9884","1,8729","496,02M","3,06%"
"20.01.2026","1,8894","1,9859","1,9901","1,8718","411,88M","-4,86%"
"19.01.2026","1,9859","1,9906","2,0280","1,8845","512,85M","-0,23%"
"18.01.2026","1,9905","2,0630","2,0674","1,9887","157,53M","-3,51%"
"17.01.2026","2,0629","2,0673","2,0815","2,0536","121,10M","-0,23%"
"16.01.2026","2,0677","2,0788","2,0862","2,0273","224,34M","-0,53%"
"15.01.2026","2,0788","2,1391","2,1433","2,0541","289,46M","-2,82%"
"14.01.2026","2,1391","2,1650","2,1903","2,1123","444,45M","-1,20%"
"13.01.2026","2,1650","2,0538","2,1817","2,0471","392,17M","5,41%"
"12.01.2026","2,0538","2,0728","2,1074","2,0348","362,35M","-0,91%"
"11.01.2026","2,0727","2,0900","2,1089","2,0487","166,69M","-0,83%"
"10.01.2026","2,0900","2,0947","2,1087","2,0802","109,42M","-0,22%"
"09.01.2026","2,0946","2,1224","2,1599","2,0729","394,03M","-1,31%"
"08.01.2026","2,1224","2,1646","2,1911","2,0668","526,41M","-1,95%"
"07.01.2026","2,1646","2,3041","2,3182","2,1526","405,62M","-6,09%"
"06.01.2026","2,3049","2,3482","2,4153","2,2102","818,45M","-1,85%"
"05.01.2026","2,3482","2,0916","2,3681","2,0884","660,30M","12,28%"
"04.01.2026","2,0914","2,0179","2,1194","2,0163","352,18M","3,64%"
"03.01.2026","2,0179","2,0064","2,0547","1,9854","254,60M","0,57%"
"02.01.2026","2,0064","1,8789","2,0274","1,8689","431,57M","6,79%"
"01.01.2026","1,8789","1,8412","1,8801","1,8261","159,96M","2,05%"
"31.12.2025","1,8411","1,8770","1,8830","1,8117","230,69M","-1,91%"
"30.12.2025","1,8771","1,8504","1,8854","1,8443","199,78M","1,44%"
